Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",58.500000,31.000000,0.000000,top
"C3","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",35.500000,20.000000,180.000000,top
"D1","1N5711","D_SOD-123",66.000000,13.800000,90.000000,top
"D2","1N5711","D_SOD-123",69.000000,17.150000,90.000000,top
"D3","LED","LED_D5.0mm",5.500000,47.700000,90.000000,top
"D4","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",12.500000,24.000000,180.000000,top
"D5","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",7.500000,43.000000,180.000000,top
"J5","Conn_Coaxial","BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",12.650000,8.500000,90.000000,top
"J6","Conn_Coaxial","BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",12.600000,33.500000,90.000000,top
"R1","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",61.500000,15.500000,0.000000,top
"R2","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",57.000000,14.500000,-90.000000,top
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",40.500000,25.500000,0.000000,top
"R4","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",26.500000,34.500000,90.000000,top
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",40.500000,28.000000,180.000000,top
"R6","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",19.500000,40.000000,180.000000,top
"R7","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",19.500000,24.000000,0.000000,top
"R8","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",19.500000,6.500000,0.000000,top
"R9","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",19.500000,31.500000,0.000000,top
"SW1","SW_Push","SW_Tactile_SPST_Angled_PTS645Vx39-2LFS",3.712500,18.725000,90.000000,top
"TP1","GND_hook","PinHeader_1x01_P2.54mm_Vertical",52.500000,22.000000,0.000000,top
"TP2","DAC_cal","PinHeader_1x01_P2.54mm_Vertical",52.500000,8.500000,0.000000,top
"U1","LM311","DIP-8_W7.62mm_Socket_LongPads",39.500000,12.000000,90.000000,top
"U2","74LS279","DIP-16_W7.62mm_Socket_LongPads",57.500000,42.000000,-90.000000,top
